ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.8523902139420616,0.9042148127759706,0.7413793103448276,0.5885372112917023,0.6561754887935145,0.5698628048298242
Decision Tree,0.8572013512130208,0.9019277035064193,0.7781710914454277,0.5641573994867408,0.654103644929333,0.5786375723051052
KNN,0.8461459719520934,0.8926984257449688,0.7069905800694101,0.6099230111206159,0.6548794489092996,0.5590909477953506
Naive Bayes,0.6204319787081585,0.8286949660284945,0.3793589292004227,0.9213002566295979,0.5374251497005988,0.3866425414549744
Random Forest,0.8634455932029891,0.9164430813095534,0.7911832946635731,0.583404619332763,0.671590349581487,0.5987350211797665
